device,time,dne,srl,srrn,eda
NC0401E,2024-11-12T03:39:28.483Z,25.0,841077,0,
NC0401E,2024-11-12T03:40:28.485Z,18.0,833264,0,
NC0401E,2024-11-12T03:41:28.487Z,19.0,815930,0,
NC0401E,2024-11-12T03:42:28.489Z,29.0,811535,0,
NC0401E,2024-11-12T03:43:28.491Z,55.0,811047,0,
NC0401E,2024-11-12T03:44:28.492Z,56.0,815442,0,
NC0401E,2024-11-12T03:45:28.494Z,55.0,816540,0,
NC0401E,2024-11-12T03:46:28.496Z,89.0,803967,1,
NC0401E,2024-11-12T03:47:28.498Z,100.0,775890,1,
NC0401E,2024-11-12T03:48:28.500Z,100.0,725352,6,
NC0401E,2024-11-12T03:49:28.502Z,100.0,776134,1,
NC0401E,2024-11-12T03:50:28.503Z,100.0,757457,2,
NC0401E,2024-11-12T03:51:28.505Z,100.0,394781,5,
NC0401E,2024-11-12T03:52:28.507Z,100.0,377447,7,
NC0401E,2024-11-12T03:53:28.509Z,100.0,336430,6,
NC0401E,2024-11-12T03:54:28.511Z,100.0,366948,6,
NC0401E,2024-11-12T03:55:28.513Z,100.0,421149,1,
NC0401E,2024-11-12T03:56:28.514Z,100.0,501472,2,
NC0401E,2024-11-12T03:57:28.516Z,77.0,559334,1,
NC0401E,2024-11-12T03:58:28.518Z,48.0,585824,0,
NC0401E,2024-11-12T03:59:28.520Z,57.0,508430,2,
NC0401E,2024-11-12T04:00:28.522Z,59.0,492663,2,
NC0401E,2024-11-12T04:01:28.524Z,90.0,420660,1,
NC0401E,2024-11-12T04:02:28.525Z,76.0,449958,4,
NC0401E,2024-11-12T04:03:28.527Z,60.0,441290,3,
NC0401E,2024-11-12T04:04:28.529Z,58.0,415411,5,
NC0401E,2024-11-12T04:05:28.531Z,64.0,412359,1,
NC0401E,2024-11-12T04:06:28.533Z,51.0,458014,0,
NC0401E,2024-11-12T04:07:28.535Z,40.0,464240,1,
NC0401E,2024-11-12T04:08:28.536Z,65.0,363408,7,
NC0401E,2024-11-12T04:09:28.538Z,100.0,347417,6,
NC0401E,2024-11-12T04:10:28.540Z,100.0,349614,4,
NC0401E,2024-11-12T04:11:28.542Z,100.0,380254,1,
NC0401E,2024-11-12T04:12:28.544Z,66.0,397955,4,
NC0401E,2024-11-12T04:13:28.546Z,58.0,367803,2,
NC0401E,2024-11-12T04:14:28.547Z,44.0,392706,0,
NC0401E,2024-11-12T04:15:28.549Z,39.0,429816,1,
NC0401E,2024-11-12T04:16:28.551Z,35.0,389044,1,
NC0401E,2024-11-12T04:17:28.553Z,92.0,364263,1,
NC0401E,2024-11-12T04:18:28.555Z,64.0,429816,0,
NC0401E,2024-11-12T04:19:28.557Z,57.0,432379,1,
NC0401E,2024-11-12T04:20:28.558Z,43.0,438605,2,
NC0401E,2024-11-12T04:21:28.560Z,55.0,377813,7,
NC0401E,2024-11-12T04:22:28.562Z,58.0,410528,1,
NC0401E,2024-11-12T04:23:28.564Z,44.0,456305,0,
NC0401E,2024-11-12T04:24:28.566Z,98.0,338994,5,
NC0401E,2024-11-12T04:25:28.568Z,82.0,357061,3,
NC0401E,2024-11-12T04:26:28.569Z,100.0,205201,4,
NC0401E,2024-11-12T04:27:28.571Z,100.0,194339,5,
NC0401E,2024-11-12T04:28:28.573Z,100.0,225223,4,
NC0401E,2024-11-12T04:29:28.575Z,100.0,149050,0,
NC0401E,2024-11-12T04:30:28.577Z,100.0,309575,0,
NC0401E,2024-11-12T04:31:28.579Z,100.0,192019,8,
NC0401E,2024-11-12T04:32:28.580Z,100.0,278946,2,
NC0401E,2024-11-12T04:33:28.582Z,100.0,474006,0,
NC0401E,2024-11-12T04:34:28.584Z,57.0,524300,0,
NC0401E,2024-11-12T04:35:28.586Z,38.0,562996,0,
NC0401E,2024-11-12T04:36:28.588Z,24.0,584481,0,
NC0401E,2024-11-12T04:37:28.590Z,15.0,604135,0,
NC0401E,2024-11-12T04:38:28.591Z,12.0,621591,0,
NC0401E,2024-11-12T04:39:28.593Z,10.0,634775,0,
NC0401E,2024-11-12T04:40:28.595Z,8.0,644907,0,
NC0401E,2024-11-12T04:41:28.597Z,6.0,646494,0,
NC0401E,2024-11-12T04:42:28.599Z,6.0,653086,0,
NC0401E,2024-11-12T04:43:28.601Z,6.0,659433,0,
NC0401E,2024-11-12T04:44:28.602Z,4.0,658823,0,
NC0401E,2024-11-12T04:45:28.604Z,5.0,660532,0,
NC0401E,2024-11-12T04:46:28.606Z,5.0,662851,0,
NC0401E,2024-11-12T04:47:28.608Z,8.0,677988,0,
NC0401E,2024-11-12T04:48:28.610Z,4.0,670054,0,
NC0401E,2024-11-12T04:49:28.612Z,3.0,668711,0,
NC0401E,2024-11-12T04:50:28.613Z,4.0,666514,0,
NC0401E,2024-11-12T04:51:28.615Z,5.0,669565,0,
NC0401E,2024-11-12T04:52:28.617Z,5.0,670176,0,
NC0401E,2024-11-12T04:53:28.619Z,5.0,673594,0,
NC0401E,2024-11-12T04:54:28.621Z,10.0,693125,0,
NC0401E,2024-11-12T04:55:28.623Z,7.0,696421,0,
NC0401E,2024-11-12T04:56:28.624Z,6.0,700572,0,
NC0401E,2024-11-12T04:57:28.626Z,6.0,704234,0,
NC0401E,2024-11-12T04:58:28.628Z,6.0,707042,0,
NC0401E,2024-11-12T04:59:28.630Z,6.0,708629,0,
NC0401E,2024-11-12T05:00:28.632Z,6.0,713511,0,
NC0401E,2024-11-12T05:01:28.634Z,4.0,700450,0,
NC0401E,2024-11-12T05:02:28.635Z,4.0,695567,0,
NC0401E,2024-11-12T05:03:28.637Z,5.0,696421,0,
NC0401E,2024-11-12T05:04:28.639Z,6.0,696055,0,
NC0401E,2024-11-12T05:05:28.641Z,5.0,694712,0,
NC0401E,2024-11-12T05:06:28.643Z,6.0,684702,0,
NC0401E,2024-11-12T05:07:28.644Z,8.0,679331,0,
NC0401E,2024-11-12T05:08:28.646Z,9.0,682505,0,
NC0401E,2024-11-12T05:09:28.648Z,10.0,672129,0,
NC0401E,2024-11-12T05:10:28.650Z,15.0,643442,1,
NC0401E,2024-11-12T05:11:28.652Z,20.0,640390,0,
NC0401E,2024-11-12T05:12:28.654Z,22.0,629648,1,
NC0401E,2024-11-12T05:13:28.655Z,27.0,623178,3,
NC0401E,2024-11-12T05:14:28.657Z,32.0,601327,6,
NC0401E,2024-11-12T05:15:28.659Z,35.0,605233,2,
NC0401E,2024-11-12T05:16:28.661Z,32.0,587533,4,
NC0401E,2024-11-12T05:17:28.663Z,31.0,590707,3,
NC0401E,2024-11-12T05:18:28.665Z,30.0,611459,1,
NC0401E,2024-11-12T05:19:28.666Z,21.0,607919,0,
NC0401E,2024-11-12T05:20:28.668Z,20.0,607553,0,
NC0401E,2024-11-12T05:21:28.670Z,24.0,592904,3,
NC0401E,2024-11-12T05:22:28.672Z,34.0,609628,1,
NC0401E,2024-11-12T05:23:28.674Z,22.0,615976,0,
NC0401E,2024-11-12T05:24:28.676Z,19.0,630014,0,
NC0401E,2024-11-12T05:25:28.677Z,18.0,616708,1,
NC0401E,2024-11-12T05:26:28.679Z,23.0,610360,1,
NC0401E,2024-11-12T05:27:28.681Z,25.0,596200,3,
NC0401E,2024-11-12T05:28:28.683Z,27.0,588754,3,
NC0401E,2024-11-12T05:29:28.685Z,31.0,571664,5,
